Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2018,Toyota,Camry,Sedan,"135,861",2.5L,Sports Automatic,Petrol,21990,Queensland,Used
2024,Mazda,2,Hatchback,945,1.5L,Sports Automatic,Petrol,27735,Victoria,Demo
2016,Abarth,595,Hatchback,"54,553",1.4L,Sports Automatic Single Clutch,Petrol,21690,Queensland,Used
2021,MG,MG3,Hatchback,"56,679",1.5L,Automatic,Petrol,13490,Queensland,Used
2022,Mercedes-Benz,CLS-Class,Sedan,"26,000",3.0L,Sports Automatic,Petrol,130203,Queensland,Used
2024,MG,MG3,Hatchback,10,1.5L,Automatic,Petrol,18990,Western Australia,Demo
2024,Nissan,Navara,Ute,3,2.3L,Sports Automatic,Diesel,57390,New South Wales,New
2021,Nissan,Navara,Ute,"97,457",2.3L,Sports Automatic,Diesel,43982,Tasmania,Used
2024,MG,MG3,Hatchback,10,1.5L,Automatic,Petrol,21490,Victoria,Used
2016,Toyota,Aurion,Sedan,"141,926",3.5L,Sports Automatic,Petrol,20590,Australian Capital Territory,Used
2024,Kia,Sportage,SUV,12,2.0L,Sports Automatic,Diesel,52940,Queensland,New
2022,MG,ZS,SUV,"38,000",1.5L,Automatic,Petrol,18990,Victoria,Used
2023,Toyota,Landcruiser Prado,SUV,"62,695",2.8L,Sports Automatic,Diesel,78710,Western Australia,Used
2015,Lexus,NX,SUV,"70,728",2.0L,Sports Automatic,Petrol,38007,New South Wales,Used
2024,Mazda,CX-70,SUV,447,3.3L,Sports Automatic,Petrol,79888,Victoria,Demo
2020,Chrysler,300,Sedan,"96,667",3.6L,Sports Automatic,Petrol,44195,Western Australia,Used
2024,Suzuki,Swift,Hatchback,5,1.4L,Sports Automatic,Petrol,35635,Western Australia,Used
2014,Hyundai,Accent,Hatchback,"95,573",1.6L,Sports Automatic,Petrol,14990,Queensland,Used
2025,Mazda,BT-50,Ute,500,3.0L,Sports Automatic,Diesel,62490,New South Wales,Demo
2024,Isuzu,MU-X,SUV,5,3.0L,Sports Automatic,Diesel,73990,Queensland,Demo
2023,Mazda,6,Wagon,"13,288",2.5L,Sports Automatic,Petrol,37990,Queensland,Used
2022,Volkswagen,Multivan,N/A,"64,951",2.0L,Sports Automatic Dual Clutch,Diesel,62010,Australian Capital Territory,Used
2024,Mitsubishi,Outlander,SUV,5,2.5L,Constantly Variable Transmission,Petrol,46050,Queensland,New
2025,Kia,K4,Sedan,16,2.0L,Sports Automatic,Petrol,37388,Victoria,New
2021,Hyundai,i20,Hatchback,"33,717",1.6L,Manual,Petrol,29860,New South Wales,Used
2024,MG,ZST,SUV,8,1.3L,Automatic,Petrol,29888,Victoria,Demo
2023,Fiat,500e,Hatchback,695,N/A,Reduction Gear,Electric,35500,Victoria,Demo
2022,BMW,X3,SUV,"38,767",2.0L,Sports Automatic,Petrol,68148,Western Australia,Used
2023,MG,ZS EV,SUV,15,N/A,Reduction Gear,Electric,35000,Queensland,New
2024,Audi,A4,Wagon,"5,610",2.0L,Sports Automatic Dual Clutch,Petrol,72880,New South Wales,Demo
2021,Toyota,Hiace,Van,"121,493",2.8L,Sports Automatic,Diesel,58990,Queensland,Used
2017,BMW,2 Series,Coupe,"50,542",2.0L,Sports Automatic,Petrol,35340,Victoria,Used
2024,Toyota,Landcruiser Prado,SUV,25,2.8L,Sports Automatic,Diesel,113488,Western Australia,Used
2022,Toyota,Landcruiser,N/A,"56,989",4.5L,Manual,Diesel,90513,Western Australia,Used
2023,Toyota,Yaris Cross,SUV,"21,433",1.5L,Constantly Variable Transmission,Petrol,33980,New South Wales,Used
2019,Mercedes-Benz,GLC-Class,SUV,"58,213",2.0L,Sports Automatic,Petrol,56490,Victoria,Used
2023,Ford,Puma,SUV,"8,025",1.0L,Sports Automatic Dual Clutch,Petrol,31450,Victoria,Used
2023,Renault,Koleos,SUV,"46,700",2.5L,Constantly Variable Transmission,Petrol,23990,Queensland,Used
2024,MG,MG3,Hatchback,10,1.5L,Automatic,Petrol,21490,Victoria,Used
2012,Toyota,Hilux,N/A,"201,573",2.7L,Automatic,Petrol,17457,Western Australia,Used
2024,Mazda,CX-5,SUV,N/A,2.5L,Sports Automatic,Petrol,43308,Western Australia,New
2024,MG,ZST,SUV,"1,118",1.3L,Automatic,Petrol,26500,Queensland,Demo
2018,Isuzu,D-MAX,N/A,"129,716",3.0L,Sports Automatic,Diesel,31462,Western Australia,Used
2024,Volkswagen,Tiguan,SUV,14,2.0L,Sports Automatic Dual Clutch,Petrol,67990,N/A,New
2022,Toyota,Landcruiser Prado,SUV,"57,119",2.8L,Sports Automatic,Diesel,72995,New South Wales,Used
2024,Suzuki,Jimny,SUV,15,1.5L,Manual,Petrol,36335,Western Australia,New
2020,Mazda,BT-50,Ute,"54,477",3.0L,Sports Automatic,Diesel,39070,New South Wales,Used
2025,Hyundai,i30,Sedan,"2,212",2.0L,Sports Automatic Dual Clutch,Petrol,56888,Victoria,Used
2016,Mazda,2,Hatchback,"80,314",1.5L,Sports Automatic,Petrol,16470,New South Wales,Used
2015,Lexus,IS,Sedan,"251,374",2.5L,Sports Automatic,Petrol,25647,New South Wales,Used
2022,Toyota,Landcruiser,N/A,"35,347",4.5L,Manual,Diesel,104522,Western Australia,Used
2022,Volkswagen,Amarok,Ute,"111,509",3.0L,Automatic,Diesel,47990,Victoria,Used
2024,GWM,Haval Jolion,SUV,N/A,1.5L,Constantly Variable Transmission,Hybrid,35485,Victoria,New
2019,Subaru,Forester,SUV,"78,058",2.5L,Constantly Variable Transmission,Petrol,30898,New South Wales,Used
2022,Ford,Everest,SUV,"66,162",3.2L,Sports Automatic,Diesel,58592,Western Australia,Used
2017,Toyota,Hilux,N/A,"113,570",2.7L,Manual,Petrol,29755,Northern Territory,Used
2022,Hyundai,Santa Fe,SUV,"2,039",3.5L,Sports Automatic,Petrol,56200,Queensland,Used
2024,Jeep,Gladiator,Ute,8,3.6L,Automatic,Petrol,78950,Victoria,Demo
2024,LDV,Deliver 7,Van,19,2.0L,Automatic,Diesel,42990,Queensland,New
2017,Land,Rover Discovery,SUV,"112,487",3.0L,Sports Automatic,Diesel,45722,Victoria,Used
2024,Nissan,X-TRAIL,SUV,20,2.5L,Constantly Variable Transmission,Petrol,43888,Queensland,Demo
2024,MG,MG4,Hatchback,25,N/A,Reduction Gear,Electric,34990,Queensland,New
2022,Lexus,RX,SUV,"77,948",3.5L,Sports Automatic,Petrol,62800,New South Wales,Used
2024,Volkswagen,Polo,Hatchback,"1,501",2.0L,Sports Automatic Dual Clutch,Petrol,45990,New South Wales,Demo
2019,Mercedes-Benz,GLC-Class,SUV,"58,213",2.0L,Sports Automatic,Petrol,56490,Victoria,Used
2025,GWM,Haval H6GT,SUV,15,2.0L,Sports Automatic Dual Clutch,Petrol,45485,Victoria,New
2024,Mazda,CX-5,SUV,"6,500",2.5L,Sports Automatic,Petrol,54620,Victoria,Demo
2021,Subaru,Forester,SUV,"50,701",2.5L,Constantly Variable Transmission,Petrol,36040,New South Wales,Used
2024,Isuzu,D-MAX,Ute,11,3.0L,Sports Automatic,Diesel,68640,Victoria,New
2021,Volkswagen,Touareg,SUV,"89,643",4.0L,Sports Automatic,Diesel,111345,Australian Capital Territory,Used
2019,Mercedes-Benz,C-Class,Sedan,"46,013",1.5L,Sports Automatic,Petrol,38934,Queensland,Used
2017,Holden,Equinox,SUV,"98,287",1.5L,Sports Automatic,Petrol,17500,New South Wales,Used
2017,Volkswagen,Tiguan,SUV,"96,180",2.0L,Sports Automatic Dual Clutch,Petrol,25740,New South Wales,Used
2020,Toyota,Hilux,N/A,"100,116",2.8L,Sports Automatic,Diesel,46449,Western Australia,Used
2023,Renault,Koleos,SUV,"48,065",2.5L,Constantly Variable Transmission,Petrol,23990,Queensland,Used
2024,Land,Rover Defender,SUV,75,3.0L,Sports Automatic,Diesel,124990,New South Wales,New
2024,Mitsubishi,Outlander,SUV,"1,190",2.5L,Constantly Variable Transmission,Petrol,46990,New South Wales,Demo
2020,Mazda,CX-9,SUV,"85,915",2.5L,Sports Automatic,Petrol,40940,Victoria,Used
2024,GWM,Haval H6,SUV,15,2.0L,Sports Automatic Dual Clutch,Petrol,37485,Western Australia,New
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2024,Suzuki,Ignis,SUV,N/A,1.2L,Manual,Petrol,24490,Western Australia,Used
2024,Suzuki,Swift,Hatchback,12,1.2L,Constantly Variable Transmission,Petrol,25867,Victoria,New
2022,Kia,Cerato,Sedan,"54,716",2.0L,Sports Automatic,Petrol,25677,Western Australia,Used
2021,Volkswagen,Tiguan,SUV,"63,871",2.0L,Sports Automatic Dual Clutch,Petrol,46995,Queensland,Used
2025,Suzuki,Jimny,SUV,N/A,1.5L,Automatic,Petrol,39735,Western Australia,Used
2022,Hyundai,Santa Fe,SUV,"69,730",2.2L,Sports Automatic Dual Clutch,Diesel,49888,Victoria,Used
2023,GWM,Haval Jolion,SUV,"15,266",1.5L,Constantly Variable Transmission,Hybrid,30990,Queensland,Used
2024,Hyundai,Tucson,SUV,"2,074",1.6L,Automatic,Hybrid,41990,Queensland,Demo
2024,MG,HS,SUV,10,1.5L,Sports Automatic Dual Clutch,Petrol,35990,Western Australia,Demo
2024,Kia,Niro,SUV,"2,021",N/A,Reduction Gear,Electric,65990,Western Australia,Demo
2024,Hyundai,Tucson,SUV,"2,012",2.0L,Automatic,Petrol,39850,Queensland,Demo
2024,Mazda,3,Sedan,N/A,2.5L,Sports Automatic,Petrol,39990,New South Wales,New
2024,GWM,Tank 300,SUV,15,2.0L,Sports Automatic,Petrol,45585,Victoria,New
2018,Mercedes-Benz,Valente,N/A,"89,616",2.1L,Sports Automatic,Diesel,39490,Queensland,Used
2016,Mitsubishi,Pajero Sport,SUV,"147,905",2.4L,Sports Automatic,Diesel,27790,Queensland,Used
2015,Kia,Carnival,N/A,"177,944",3.3L,Sports Automatic,Petrol,16555,Queensland,Used
2024,Nissan,X-TRAIL,SUV,5,2.5L,Constantly Variable Transmission,Petrol,48100,Queensland,New
2022,Mazda,CX-8,SUV,"27,123",2.5L,Sports Automatic,Petrol,41433,Western Australia,Used
2024,SKODA,Enyaq,SUV,"1,532",N/A,Automatic,Electric,86990,New South Wales,Demo
2021,Hyundai,Tucson,SUV,"46,455",2.0L,Automatic,Petrol,29055,South Australia,Used
2024,Hyundai,Venue,SUV,"2,033",1.6L,Automatic,Petrol,26300,Queensland,Demo
2017,Kia,Sportage,SUV,"114,009",2.0L,Sports Automatic,Petrol,18888,Victoria,Used
2024,Hyundai,Kona,SUV,"2,036",1.6L,Sports Automatic Dual Clutch,Hybrid,44560,New South Wales,Demo
2024,Subaru,Forester,SUV,"7,975",2.5L,Constantly Variable Transmission,Petrol,48990,Victoria,Used
2015,Mazda,CX-3,SUV,"112,140",2.0L,Sports Automatic,Petrol,18490,Queensland,Used
2023,Subaru,Outback,SUV,"4,773",2.5L,Constantly Variable Transmission,Petrol,42990,Queensland,Used
2022,Hyundai,Tucson,SUV,"3,806",1.6L,Sports Automatic Dual Clutch,Petrol,39990,Queensland,Used
2025,Hyundai,Santa Fe,SUV,"2,030",2.5L,Sports Automatic Dual Clutch,Petrol,65880,New South Wales,Demo
2024,Suzuki,Vitara,SUV,16,1.4L,Sports Automatic,Petrol,34980,New South Wales,New
2017,Land,Rover Range Rover Velar,SUV,"72,628",3.0L,Sports Automatic,Diesel,62990,Queensland,Used
2015,Hyundai,ix35,SUV,"145,930",2.0L,Sports Automatic,Petrol,13720,Queensland,Used
2019,Renault,Koleos,SUV,"82,165",2.5L,Constantly Variable Transmission,Petrol,21983,Western Australia,Used
2021,Mercedes-Benz,EQA,SUV,"48,000",N/A,Reduction Gear,Electric,46895,Queensland,Used
2017,Hyundai,Kona,SUV,"103,998",1.6L,Sports Automatic Dual Clutch,Petrol,24990,Queensland,Used
2024,Suzuki,Swift,Hatchback,12,1.2L,Constantly Variable Transmission,Petrol,25867,Victoria,New
2024,Hyundai,Palisade,SUV,"7,160",2.2L,Sports Automatic,Diesel,77888,Victoria,Used
2023,Ford,Mustang,N/A,"9,125",5.0L,Manual,Petrol,76990,Queensland,Used
2018,Ford,Ranger,N/A,"123,503",2.2L,Sports Automatic,Diesel,28892,Western Australia,Used
2019,Mazda,CX-8,SUV,"80,560",2.2L,Sports Automatic,Diesel,32987,Queensland,Used
2024,Audi,S8,Sedan,"2,066",4.0L,Sports Automatic,Petrol,238888,Victoria,Demo
2015,Mazda,3,Hatchback,"71,966",2.0L,Sports Automatic,Petrol,18990,Victoria,Used
2024,MG,ZS,SUV,95,1.5L,Automatic,Petrol,22990,Queensland,Demo
2023,Jeep,Compass,SUV,"7,500",2.4L,Automatic,Petrol,45990,Queensland,Used
2020,Toyota,Landcruiser Prado,SUV,"190,878",2.8L,Sports Automatic,Diesel,38777,Western Australia,Used
2019,Audi,A3,Sedan,"74,838",1.4L,Sports Automatic Dual Clutch,Petrol,26950,Queensland,Used
2022,Mazda,3,Hatchback,"18,244",2.5L,Sports Automatic,Petrol,28990,Victoria,Used
2017,Audi,S5,Hatchback,"60,014",3.0L,Sports Automatic,Petrol,53654,Tasmania,Used
2015,Mazda,MX-5,Coupe,"8,615",1.5L,Manual,Petrol,28990,Queensland,Used
2024,LDV,T60,Ute,5,2.0L,Sports Automatic,Diesel,47990,Queensland,New
2024,Kia,Cerato,Hatchback,10,1.6L,Sports Automatic Dual Clutch,Petrol,39799,Western Australia,Demo
2024,Mazda,2,Hatchback,"2,245",1.5L,Sports Automatic,Petrol,27950,Victoria,Used
2024,Ford,Ranger,Ute,"8,686",3.0L,Sports Automatic,Petrol,97969,Western Australia,Used
2024,MG,MG3,Hatchback,10,1.5L,Automatic,Petrol,21490,Victoria,Used
2015,Mazda,CX-3,SUV,"112,140",2.0L,Sports Automatic,Petrol,18490,Queensland,Used
2024,Mazda,CX-5,SUV,N/A,2.0L,Sports Automatic,Petrol,38785,New South Wales,New
2019,Ford,Everest,SUV,"120,288",2.0L,Sports Automatic,Diesel,38477,Western Australia,Used
2017,Volkswagen,Tiguan,SUV,"95,566",2.0L,Sports Automatic Dual Clutch,Diesel,25995,Queensland,Used
2022,Kia,Cerato,Sedan,"25,468",2.0L,Sports Automatic,Petrol,27911,South Australia,Used
2017,Mercedes-Benz,CLA-Class,Coupe,"60,583",1.6L,Sports Automatic Dual Clutch,Petrol,30990,Queensland,Used
2014,Toyota,Hilux,N/A,"95,727",2.7L,Manual,Petrol,27990,Queensland,Used
2024,Renault,Trafic,Van,21,2.0L,Sports Automatic Dual Clutch,Diesel,53890,New South Wales,New
2024,Suzuki,Swift,Hatchback,12,1.2L,Constantly Variable Transmission,Petrol,24867,Victoria,New
2022,Toyota,Landcruiser,N/A,"35,347",4.5L,Manual,Diesel,111321,Western Australia,Used
2025,Hyundai,STARIA LOAD,Van,11,2.2L,Sports Automatic,Diesel,47500,Western Australia,New
2018,Toyota,Hilux,Ute,"115,287",2.8L,Sports Automatic,Diesel,53990,Queensland,Used
2017,Toyota,Hilux,N/A,"149,743",2.4L,Manual,Diesel,23609,Western Australia,Used
2024,Ford,Ranger,Ute,45,2.0L,Sports Automatic,Diesel,79940,New South Wales,Used
2022,Hyundai,Tucson,SUV,"2,136",2.0L,Automatic,Petrol,42790,Queensland,Used
2024,Suzuki,Vitara,SUV,9,1.4L,Sports Automatic,Petrol,32480,New South Wales,Demo
2021,BMW,iX3,SUV,"48,743",N/A,Automatic,Electric,63888,Western Australia,Used
2021,Hyundai,Tucson,SUV,"54,800",1.6L,Sports Automatic Dual Clutch,Petrol,42490,Queensland,Used
2023,Kia,Sportage,SUV,"5,170",1.6L,Sports Automatic Dual Clutch,Petrol,52780,Victoria,Demo
2024,Hyundai,Tucson,SUV,25,1.6L,Sports Automatic Dual Clutch,Petrol,54890,Queensland,New
2023,Mitsubishi,Outlander,SUV,"20,440",2.5L,Constantly Variable Transmission,Petrol,34490,Queensland,Used
2024,GWM,Tank 500,SUV,12,2.0L,Sports Automatic,Hybrid,72990,Queensland,New
2024,Audi,A4,Wagon,"4,224",2.0L,Sports Automatic Dual Clutch,Petrol,71880,New South Wales,Demo
2024,Hyundai,Tucson,SUV,"2,003",1.6L,Automatic,Hybrid,59990,Victoria,Demo
2024,Volkswagen,T-Roc,SUV,13,2.0L,Sports Automatic Dual Clutch,Petrol,53990,Victoria,New
2020,Toyota,Landcruiser Prado,SUV,"190,878",2.8L,Sports Automatic,Diesel,38777,Western Australia,Used
2024,Subaru,Crosstrek,SUV,"6,143",2.0L,Constantly Variable Transmission,Petrol,38673,Western Australia,Demo
2020,Toyota,Landcruiser Prado,SUV,"92,569",2.8L,Sports Automatic,Diesel,79395,Australian Capital Territory,Used
2023,Ford,Ranger,Ute,"35,507",2.0L,Sports Automatic,Diesel,70490,New South Wales,Used
2022,Volvo,XC40,SUV,"19,876",2.0L,Sports Automatic,Petrol,44900,New South Wales,Used
2024,GWM,Ute,Ute,12,2.0L,Sports Automatic,Diesel,41990,Queensland,New
2023,LDV,T60,Ute,20,2.0L,Sports Automatic,Diesel,38990,New South Wales,New
2018,Land,Rover Range Rover Sport,SUV,"127,052",4.4L,Sports Automatic,Diesel,79800,New South Wales,Used
2025,MG,ZST,SUV,105,1.5L,Constantly Variable Transmission,Petrol,22888,Queensland,Demo
2023,Mazda,CX-8,SUV,"56,242",2.5L,Sports Automatic,Petrol,37070,New South Wales,Used
2016,Ford,Kuga,SUV,"78,385",2.0L,Sports Automatic,Petrol,16990,New South Wales,Used
2021,Ford,Ranger,Ute,"83,503",3.2L,Sports Automatic,Diesel,52533,New South Wales,Used
2022,Subaru,Forester,SUV,"45,386",2.5L,Constantly Variable Transmission,Petrol,36990,Queensland,Used
2018,Toyota,Kluger,SUV,"156,318",3.5L,Sports Automatic,Petrol,26770,Australian Capital Territory,Used
2024,Subaru,WRX,Sedan,"2,189",2.4L,Constantly Variable Transmission,Petrol,60888,Victoria,Used
2021,Hyundai,Tucson,SUV,"63,448",1.6L,Sports Automatic Dual Clutch,Petrol,35990,Queensland,Used
2024,Mazda,CX-3,SUV,10,2.0L,Sports Automatic,Petrol,31990,Queensland,New
2008,Ford,Ranger,Ute,"226,218",3.0L,Automatic,Diesel,13380,Tasmania,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2022,Nissan,JUKE,SUV,"10,000",1.0L,Sports Automatic Dual Clutch,Petrol,29990,Queensland,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2019,Toyota,Landcruiser,N/A,"142,398",4.5L,Manual,Diesel,69221,Western Australia,Used
2021,BMW,M2,Coupe,"39,667",3.0L,Sports Automatic Dual Clutch,Petrol,82880,Queensland,Used
2024,Hyundai,i30,Sedan,"2,001",2.0L,Constantly Variable Transmission,Petrol,37490,Victoria,Demo
2024,Volkswagen,T-Roc,SUV,13,2.0L,Sports Automatic Dual Clutch,Petrol,53990,Victoria,New
2016,Honda,Civic,Sedan,"79,720",1.8L,Constantly Variable Transmission,Petrol,19990,Queensland,Used
2024,BMW,1 Series,Hatchback,"2,000",1.5L,Sports Automatic Dual Clutch,Petrol,68990,New South Wales,Demo
2024,Suzuki,S-Cross,SUV,"10,222",1.4L,Sports Automatic,Petrol,29990,Victoria,Used
2021,Toyota,Corolla,Hatchback,"41,550",1.8L,Constantly Variable Transmission,Hybrid,30890,Northern Territory,Used
2014,Hyundai,ix35,SUV,"120,200",2.0L,Manual,Petrol,14990,Queensland,Used
2019,Subaru,Forester,SUV,"136,904",2.5L,Constantly Variable Transmission,Petrol,23680,New South Wales,Used
2018,Mitsubishi,ASX,SUV,"64,997",2.0L,Constantly Variable Transmission,Petrol,22178,New South Wales,Used
2024,Volkswagen,Golf,Hatchback,"5,023",2.0L,Sports Automatic Dual Clutch,Petrol,66175,New South Wales,Used
2022,MG,ZS,SUV,"33,000",1.5L,Automatic,Petrol,18990,Victoria,Used
2024,Suzuki,Jimny,SUV,"7,675",1.5L,Automatic,Petrol,39645,New South Wales,Used
2022,Mitsubishi,Outlander,SUV,"39,452",2.5L,Constantly Variable Transmission,Petrol,33980,New South Wales,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2023,Nissan,X-TRAIL,SUV,"29,535",2.5L,Constantly Variable Transmission,Petrol,37589,Western Australia,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2021,Mazda,BT-50,N/A,"165,925",3.0L,Sports Automatic,Diesel,36990,Queensland,Used
2024,MG,MG3,Hatchback,105,1.5L,Automatic,Hybrid,30990,Queensland,Demo
2023,Toyota,Yaris,Hatchback,"14,947",1.6L,Manual,Petrol,56640,Australian Capital Territory,Used
2018,Subaru,XV,SUV,"93,063",2.0L,Constantly Variable Transmission,Petrol,23990,Queensland,Used
2024,Mazda,CX-5,SUV,100,2.5L,Sports Automatic,Petrol,40999,Queensland,Demo
2020,BMW,X1,SUV,"53,995",2.0L,Sports Automatic Dual Clutch,Petrol,36482,Western Australia,Used
2025,Isuzu,D-MAX,N/A,13,3.0L,Sports Automatic,Diesel,45888,Victoria,New
2021,MG,MG3,Hatchback,"32,555",1.5L,Automatic,Petrol,14995,Queensland,Used
2021,Isuzu,D-MAX,N/A,"88,643",3.0L,Sports Automatic,Diesel,41980,Western Australia,Used
2025,Hyundai,i30,Hatchback,10,1.5L,Sports Automatic Dual Clutch,Petrol,36990,Victoria,New
2009,Nissan,Murano,SUV,"202,529",3.5L,Constantly Variable Transmission,Petrol,10244,Queensland,Used
2024,Land,Rover Discovery Sport,SUV,"14,450",2.0L,Sports Automatic,Petrol,95800,New South Wales,Demo
2022,Lexus,RX,SUV,"10,354",2.4L,Sports Automatic,Petrol,96633,New South Wales,Used
2013,Mitsubishi,Mirage,Hatchback,"49,301",1.2L,Manual,Petrol,10280,New South Wales,Used
2019,Ford,Endura,SUV,"101,297",2.0L,Sports Automatic,Diesel,27170,Western Australia,Used
2022,Suzuki,Jimny,SUV,"72,665",1.5L,Manual,Petrol,28985,Queensland,Used
2025,Hyundai,i30,Hatchback,10,1.5L,Sports Automatic Dual Clutch,Petrol,36990,Victoria,New
2024,GWM,Tank 500,SUV,15,2.0L,Sports Automatic,Hybrid,73990,Queensland,New
2020,Suzuki,Baleno,Hatchback,"44,170",1.4L,Automatic,Petrol,17500,New South Wales,Used
2022,Toyota,Landcruiser,N/A,"45,097",4.5L,Manual,Diesel,95846,Western Australia,Used
2021,Kia,Cerato,Hatchback,"53,344",1.6L,Sports Automatic Dual Clutch,Petrol,31990,Queensland,Used
2023,MG,MG3,Hatchback,"28,590",1.5L,Automatic,Petrol,15487,Queensland,Used
2022,GWM,Haval H6,SUV,"19,754",2.0L,Sports Automatic Dual Clutch,Petrol,28490,Queensland,Used
2023,Ford,Transit Custom,Van,"4,473",2.0L,Automatic,Diesel,56098,South Australia,Used
2024,Mazda,CX-5,SUV,N/A,2.5L,Sports Automatic,Petrol,43508,Western Australia,New
2023,Isuzu,MU-X,SUV,"26,776",3.0L,Sports Automatic,Diesel,60990,Queensland,Used
2025,MG,MG3,Hatchback,8,1.5L,Constantly Variable Transmission,Petrol,25490,Victoria,New
2025,Suzuki,Swift,Hatchback,65,1.2L,Constantly Variable Transmission,Petrol,26980,New South Wales,Demo
2019,Hyundai,Santa Fe,SUV,"90,645",2.2L,Sports Automatic,Diesel,29860,New South Wales,Used
2025,Suzuki,Jimny,SUV,5,1.5L,Automatic,Petrol,39735,Western Australia,Used
2020,Mazda,CX-5,SUV,"65,326",2.5L,Sports Automatic,Petrol,31490,Victoria,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2024,Mazda,CX-5,SUV,N/A,2.5L,Sports Automatic,Petrol,41990,Queensland,New
2025,Mazda,CX-30,SUV,5,2.0L,Sports Automatic,Petrol,37789,Victoria,New
2022,Subaru,Forester,SUV,"33,825",2.5L,Constantly Variable Transmission,Petrol,37990,Queensland,Used
2017,Holden,Equinox,SUV,"123,355",2.0L,Sports Automatic,Petrol,18990,Victoria,Used
2025,Chery,Tiggo 4 Pro,SUV,5,1.5L,Constantly Variable Transmission,Petrol,24490,Queensland,New
2024,Lexus,NX,SUV,"3,615",2.4L,Sports Automatic,Petrol,88855,New South Wales,Demo
2022,Mercedes-Benz,C-Class,Sedan,"38,093",2.0L,Sports Automatic,Petrol,74800,Victoria,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2023,Toyota,Landcruiser,N/A,306,4.5L,Manual,Diesel,111820,Western Australia,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2024,BMW,X3,SUV,"3,338",3.0L,Sports Automatic,Petrol,124900,New South Wales,Demo
2023,Toyota,Landcruiser,N/A,306,4.5L,Manual,Diesel,111820,Western Australia,Used
2023,MG,ZS EV,SUV,15,N/A,Reduction Gear,Electric,35000,Queensland,New
2024,Nissan,X-TRAIL,SUV,5,1.5L,Automatic,Hybrid,54502,Queensland,New
2024,MG,MG4,Hatchback,15,N/A,Reduction Gear,Electric,39940,Queensland,New
2024,Audi,SQ5,SUV,"2,094",3.0L,Sports Automatic,Diesel,119850,New South Wales,Demo
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2024,RAM,1500,Ute,N/A,5.7L,Automatic,Petrol,136900,Victoria,Demo
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2015,Holden,Ute,Ute,"116,558",3.6L,Sports Automatic,Petrol,31040,Western Australia,Used
2013,Toyota,RAV4,SUV,"62,001",2.0L,Constantly Variable Transmission,Petrol,21620,Tasmania,Used
2016,Holden,Ute,Ute,"140,083",3.6L,Sports Automatic,Petrol,28790,Queensland,Used
2011,Kia,Optima,Sedan,"165,000",2.4L,Sports Automatic,Petrol,12823,Western Australia,Used
2024,Hyundai,Kona,SUV,"2,130",1.6L,Sports Automatic,Petrol,45880,New South Wales,Demo
2024,Suzuki,Jimny,SUV,18,1.5L,Automatic,Petrol,41990,New South Wales,New
2022,Toyota,Corolla,Hatchback,"66,189",2.0L,Constantly Variable Transmission,Petrol,27813,Western Australia,Used
2024,Mitsubishi,ASX,SUV,"3,790",2.0L,Constantly Variable Transmission,Petrol,29888,Victoria,Demo
2018,Toyota,Hiace,Van,"122,335",2.7L,Automatic,Petrol,43880,Queensland,Used
2025,Chery,OMODA 5,SUV,3,1.5L,Constantly Variable Transmission,Petrol,26990,Queensland,New
2016,Toyota,Prius,Sedan,"63,754",1.8L,Constantly Variable Transmission,Hybrid,25655,Western Australia,Used
2025,MG,ZST,SUV,15,1.5L,Constantly Variable Transmission,Petrol,23590,Queensland,New
2022,BMW,3 Series,Sedan,"89,320",2.0L,Sports Automatic,Petrol,43440,Western Australia,Used
2018,Mercedes-Benz,X-Class,Ute,"136,709",2.3L,Sports Automatic,Diesel,34000,Queensland,Used
2024,SKODA,Kodiaq,SUV,461,2.0L,Sports Automatic Dual Clutch,Petrol,50760,New South Wales,Demo
2020,SsangYong,Musso,Ute,"75,162",2.2L,Sports Automatic,Diesel,31990,Queensland,Used
2017,Holden,Equinox,SUV,"123,355",2.0L,Sports Automatic,Petrol,18990,Victoria,Used
2025,Kia,Picanto,Hatchback,10,1.3L,Automatic,Petrol,24500,Victoria,New
2025,Mazda,2,Hatchback,10,1.5L,Sports Automatic,Petrol,31490,Queensland,New
2023,Nissan,X-TRAIL,SUV,"11,035",2.5L,Constantly Variable Transmission,Petrol,46990,Victoria,Used
