Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2017,Audi,A5,Hatchback,"30,076",2.0L,Sports Automatic Dual Clutch,Petrol,39120,New South Wales,Used
2024,Toyota,Corolla,Sedan,"13,673",1.8L,Constantly Variable Transmission,Hybrid,32490,Queensland,Used
2018,Suzuki,Vitara,SUV,"49,138",1.4L,Sports Automatic,Petrol,21888,Victoria,Used
2018,Lexus,UX,SUV,"79,973",2.0L,Constantly Variable Transmission,Hybrid,34490,Queensland,Used
2024,Chery,OMODA 5,SUV,402,1.6L,Sports Automatic Dual Clutch,Petrol,32480,Victoria,Used
2024,Mazda,6,Wagon,N/A,2.5L,Sports Automatic,Petrol,50490,N/A,Available to order
2018,Kia,Sportage,SUV,"69,249",2.0L,Sports Automatic,Petrol,21620,New South Wales,Used
2022,Mazda,CX-3,SUV,"33,337",2.0L,Sports Automatic,Petrol,25740,New South Wales,Used
2022,Suzuki,Vitara,SUV,"61,675",1.4L,Sports Automatic,Petrol,26730,New South Wales,Used
2022,Toyota,Corolla,Sedan,"62,172",2.0L,Constantly Variable Transmission,Petrol,24490,Queensland,Used
2020,Kia,Cerato,Sedan,"54,252",2.0L,Sports Automatic,Petrol,21490,Queensland,Used
2024,Mercedes-Benz,C-Class,Sedan,N/A,2.0L,Sports Automatic,Hybrid,190900,N/A,Available to order
2024,Nissan,X-TRAIL,SUV,8,2.5L,Constantly Variable Transmission,Petrol,39990,New South Wales,New
2023,Hyundai,IONIQ 6,Sedan,"3,069",N/A,Reduction Gear,Electric,69990,New South Wales,Demo
2022,BMW,3 Series,Sedan,"54,700",2.0L,Sports Automatic,Petrol,47900,Victoria,Used
2020,Toyota,Yaris,Hatchback,"71,270",1.3L,Automatic,Petrol,19990,Victoria,Used
2016,Toyota,Camry,Sedan,"134,859",2.5L,Sports Automatic,Petrol,18530,New South Wales,Used
2023,Porsche,Panamera,Sedan,N/A,4.0L,Sports Automatic Dual Clutch,Petrol,316400,N/A,Available to order
2020,Jeep,Wrangler,SUV,"61,107",2.2L,Automatic,Diesel,67990,Queensland,Used
2016,Mercedes-Benz,GLC-Class,SUV,"120,382",2.0L,Sports Automatic,Petrol,29757,New South Wales,Used
2018,Audi,Q5,SUV,"87,750",2.0L,Sports Automatic Dual Clutch,Petrol,34917,New South Wales,Used
2024,Mercedes-Benz,GLC-Class,SUV,"15,101",2.0L,Sports Automatic,Petrol,93888,New South Wales,Used
2025,Hyundai,Tucson,SUV,"2,332",2.0L,Automatic,Petrol,38888,Victoria,Used
2024,Mercedes-Benz,C-Class,Sedan,N/A,2.0L,Sports Automatic,Petrol,96900,N/A,Available to order
2022,Toyota,RAV4,SUV,"30,230",2.0L,Constantly Variable Transmission,Petrol,44700,Queensland,Used
2015,Hyundai,ix35,SUV,"145,349",2.0L,Sports Automatic,Petrol,14490,Victoria,Used
2025,Hyundai,Kona,SUV,10,2.0L,Constantly Variable Transmission,Petrol,34990,Victoria,New
2024,Toyota,RAV4,SUV,"8,475",2.5L,Constantly Variable Transmission,Hybrid,51065,N/A,Used
2019,Mazda,CX-5,SUV,"105,942",2.0L,Manual,Petrol,21620,New South Wales,Used
2024,Ford,F-150,Ute,N/A,3.5L,Automatic,Petrol,106950,N/A,Available to order
2023,Hyundai,IONIQ 6,Sedan,17,N/A,Reduction Gear,Electric,76220,Queensland,Used
2024,Mitsubishi,Eclipse Cross,SUV,5,2.4L,Automatic,Hybrid,49490,Queensland,Demo
2023,Hyundai,Kona,SUV,16,2.0L,Constantly Variable Transmission,Petrol,33573,Queensland,Used
2024,GWM,Haval Jolion,SUV,22,1.5L,Sports Automatic Dual Clutch,Petrol,24485,Queensland,New
2014,BMW,M6,Coupe,"133,624",4.4L,Sports Automatic Dual Clutch,Petrol,25696,Western Australia,Used
2024,Honda,ZR-V,SUV,N/A,2.0L,Constantly Variable Transmission,Hybrid,55400,N/A,Available to order
2024,Nissan,X-TRAIL,SUV,"15,244",2.5L,Constantly Variable Transmission,Petrol,35470,Victoria,Used
2023,LDV,Deliver 9,Van,10,2.0L,Automatic,Diesel,42990,Victoria,New
2023,Hyundai,IONIQ 6,Sedan,"3,069",N/A,Reduction Gear,Electric,69990,New South Wales,Demo
2024,Kia,Sorento,SUV,"11,382",2.2L,Sports Automatic Dual Clutch,Diesel,67480,Victoria,Used
2016,Toyota,Camry,Sedan,"134,859",2.5L,Sports Automatic,Petrol,18530,New South Wales,Used
2024,Ferrari,Roma,Coupe,N/A,3.9L,Sports Automatic Dual Clutch,Petrol,453000,N/A,Available to order
2024,Mitsubishi,Outlander,SUV,"3,213",2.4L,Automatic,Hybrid,58990,Victoria,Used
2025,Hyundai,Kona,SUV,"2,013",2.0L,Constantly Variable Transmission,Petrol,34860,New South Wales,Demo
2023,RAM,1500,Ute,7,5.7L,Automatic,Petrol,138900,New South Wales,New
2012,Hyundai,iMax,N/A,"149,125",2.4L,Automatic,Petrol,15995,Queensland,Used
2023,Suzuki,Ignis,SUV,"4,960",1.2L,Manual,Petrol,19990,Victoria,Used
2024,Porsche,Macan,SUV,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,96800,N/A,Available to order
2024,Mitsubishi,ASX,SUV,N/A,2.0L,Constantly Variable Transmission,Petrol,27990,Victoria,New
2021,Toyota,Corolla,Hatchback,"52,807",1.8L,Constantly Variable Transmission,Hybrid,27990,Victoria,Used
2021,Mercedes-Benz,GLE-Class,SUV,"65,500",3.0L,Sports Automatic,Petrol,99619,Victoria,Used
2015,Mitsubishi,Outlander,SUV,"51,743",2.2L,Sports Automatic,Diesel,23970,Victoria,Used
2023,Kia,Seltos,SUV,"15,048",2.0L,Constantly Variable Transmission,Petrol,30888,Western Australia,Used
2024,Porsche,Macan,SUV,N/A,2.9L,Sports Automatic Dual Clutch,Petrol,140600,N/A,Available to order
2022,MG,ZS,SUV,"64,825",1.5L,Automatic,Petrol,16888,Victoria,Used
2020,Mitsubishi,Outlander,SUV,"75,171",2.4L,Constantly Variable Transmission,Petrol,23990,Western Australia,Used
2019,Kia,Seltos,SUV,"50,578",2.0L,Constantly Variable Transmission,Petrol,24990,Western Australia,Used
2023,Chery,OMODA 5,SUV,"5,880",1.5L,Constantly Variable Transmission,Petrol,25740,New South Wales,Used
2022,Isuzu,MU-X,SUV,"62,806",3.0L,Sports Automatic,Diesel,43137,New South Wales,Used
2024,Porsche,Macan,SUV,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,94000,N/A,Available to order
2025,GWM,Haval Jolion,SUV,20,1.5L,Sports Automatic Dual Clutch,Petrol,24485,Queensland,New
2025,GWM,Haval Jolion,SUV,15,1.5L,Sports Automatic Dual Clutch,Petrol,22490,Victoria,Demo
2024,Toyota,Yaris,Hatchback,"13,468",1.5L,Constantly Variable Transmission,Petrol,27832,Western Australia,Used
2016,Audi,A3,Convertible,"47,458",1.4L,Sports Automatic Dual Clutch,Petrol,29860,New South Wales,Used
2019,Mitsubishi,Outlander,SUV,"78,753",2.4L,Constantly Variable Transmission,Petrol,20990,Queensland,Used
2024,Ferrari,SF90 Spider,Convertible,N/A,4.0L,Sports Automatic Dual Clutch,Hybrid,957700,N/A,Available to order
2023,GWM,Ora,Hatchback,570,N/A,Reduction Gear,Electric,35990,Tasmania,Demo
2022,Ford,Ranger,Ute,"74,373",2.0L,Sports Automatic,Diesel,46888,Victoria,Used
2022,Ford,Ranger,Ute,"133,808",3.2L,Sports Automatic,Diesel,33990,Victoria,Used
2021,Hyundai,i30,Hatchback,"74,301",2.0L,Sports Automatic,Petrol,20999,Victoria,Used
2017,Hyundai,Kona,SUV,"69,965",1.6L,Sports Automatic Dual Clutch,Petrol,19995,Queensland,Used
2025,MINI,Cooper,Convertible,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,56990,N/A,Available to order
2021,Nissan,X-TRAIL,SUV,"64,391",2.5L,Constantly Variable Transmission,Petrol,25499,Western Australia,Used
2024,MG,MG5,Sedan,105,1.5L,Constantly Variable Transmission,Petrol,22990,Queensland,Demo
2024,Hyundai,Venue,SUV,"22,318",1.6L,Automatic,Petrol,23990,Victoria,Used
2024,Chery,OMODA 5,SUV,"2,025",1.5L,Constantly Variable Transmission,Petrol,25888,Victoria,Used
2024,Nissan,X-TRAIL,SUV,498,2.5L,Constantly Variable Transmission,Petrol,42980,Victoria,Used
2025,MINI,Cooper,Hatchback,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,56990,N/A,Available to order
2025,Hyundai,Tucson,SUV,25,2.0L,Automatic,Petrol,46490,Queensland,New
2024,Kia,Sorento,SUV,N/A,2.2L,Sports Automatic Dual Clutch,Diesel,58999,Victoria,New
2023,GWM,Tank 300,SUV,"48,040",2.0L,Sports Automatic,Petrol,42990,Victoria,Used
2021,Mazda,CX-9,SUV,"78,215",2.5L,Sports Automatic,Petrol,38990,Victoria,Used
2017,Hyundai,Accent,Hatchback,"70,365",1.6L,Sports Automatic,Petrol,15747,New South Wales,Used
2025,MINI,Cooper,Hatchback,N/A,1.5L,Sports Automatic Dual Clutch,Petrol,46990,N/A,Available to order
2021,Hyundai,STARIA LOAD,Van,"43,332",2.2L,Sports Automatic,Diesel,33990,Queensland,Used
2023,Hyundai,Kona,SUV,"19,907",2.0L,Constantly Variable Transmission,Petrol,33888,Victoria,Used
2017,Toyota,Hilux,N/A,"137,272",2.7L,Sports Automatic,Petrol,24710,New South Wales,Used
